PathwayPoint,POINT_X,POINT_Y
199,51.50639165,25.41228747
200,51.50626822,25.41226541
201,51.5062677,25.4122678
202,51.50626718,25.41227019
203,51.50626665,25.41227257
204,51.50626663,25.41227266
205,51.50631416,25.41227362
206,51.50631364,25.41227601
207,51.50631312,25.4122784
208,51.50631263,25.41228062
209,51.50638257,25.41228585
210,51.50638205,25.41228824
211,51.50638153,25.41229062
212,51.506381,25.41229301
213,51.506381,25.41229303
214,51.50640314,25.41223502
215,51.50640578,25.4122355
216,51.50640842,25.41223597
217,51.50640922,25.41223611
218,51.50633931,25.41227786
219,51.50633984,25.41227547
220,51.50634036,25.41227308
221,51.50634088,25.41227069
222,51.50634141,25.41226831
223,51.50634193,25.41226592
224,51.50634245,25.41226353
225,51.50634297,25.41226114
226,51.5063435,25.41225876
227,51.50634402,25.41225637
228,51.50634454,25.41225398
229,51.50634507,25.41225159
230,51.50634559,25.4122492
231,51.50634611,25.41224682
232,51.50634664,25.41224443
233,51.50634716,25.41224204
234,51.50634768,25.41223965
235,51.50634821,25.41223726
236,51.50634873,25.41223488
237,51.50634925,25.41223249
238,51.50634978,25.4122301
239,51.5063503,25.41222771
240,51.50635082,25.41222532
241,51.50635135,25.41222294
242,51.50635187,25.41222055
243,51.50635239,25.41221816
244,51.50635291,25.41221577
245,51.50635344,25.41221338
246,51.50635396,25.412211
247,51.50635448,25.41220861
248,51.50635501,25.41220622
249,51.50635553,25.41220383
250,51.50635605,25.41220145
251,51.50635658,25.41219906
252,51.5063571,25.41219667
253,51.50635762,25.41219428
254,51.50635815,25.41219189
255,51.50635867,25.41218951
256,51.50635919,25.41218712
257,51.50635933,25.41218651
258,51.50632788,25.41225615
259,51.50633052,25.41225662
260,51.50633317,25.41225709
261,51.50633581,25.41225757
262,51.50633845,25.41225804
263,51.5063411,25.41225851
264,51.50634346,25.41225893
265,51.50633293,25.41223595
266,51.50633557,25.41223642
267,51.50633821,25.4122369
268,51.50634086,25.41223737
269,51.5063435,25.41223784
270,51.50634615,25.41223831
271,51.50634791,25.41223863
272,51.50633617,25.41221608
273,51.50633882,25.41221655
274,51.50634146,25.41221702
275,51.50634411,25.4122175
276,51.50634675,25.41221797
277,51.50634939,25.41221844
278,51.50635204,25.41221891
279,51.50635222,25.41221895
